City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
158,Te Anau,NZ,2020-04-15 22:32:52,-45.42,167.72,52.36,57,44,8.41,scattered clouds,0.0,0
159,Bambous Virieux,MU,2020-04-15 22:32:52,-20.34,57.76,77.0,83,40,12.75,scattered clouds,0.0,0
160,Male,MV,2020-04-15 22:28:59,4.17,73.51,84.2,83,40,3.36,thunderstorm,0.0,0
161,Nome,US,2020-04-15 22:32:53,64.5,-165.41,36.0,93,90,3.36,light rain,0.25,0
162,Nhulunbuy,AU,2020-04-15 22:32:53,-12.23,136.77,78.8,88,93,4.7,overcast clouds,0.0,0
163,Japura,ID,2020-04-15 22:29:00,-0.32,102.35,73.85,96,99,0.92,overcast clouds,0.0,0
164,Rensvik,NO,2020-04-15 22:32:53,63.1,7.82,41.0,71,83,23.04,light snow,0.0,0
165,Cap Malheureux,MU,2020-04-15 22:32:53,-19.98,57.61,77.0,83,40,12.75,scattered clouds,0.0,0
166,Yulara,AU,2020-04-15 22:32:54,-25.24,130.99,66.2,25,59,9.17,broken clouds,0.0,0
167,Cayenne,GF,2020-04-15 22:32:54,4.93,-52.33,80.6,74,0,3.36,clear sky,0.0,0
168,Clonakilty,IE,2020-04-15 22:32:54,51.62,-8.87,46.4,65,20,8.05,few clouds,0.0,0
169,Lima,PE,2020-04-15 22:31:16,-12.04,-77.03,78.8,57,0,10.29,clear sky,0.0,0
170,Staraya Russa,RU,2020-04-15 22:32:55,57.99,31.36,34.36,91,91,6.26,light snow,0.0,0
171,Salalah,OM,2020-04-15 22:32:55,17.02,54.09,82.4,74,20,8.05,few clouds,0.0,0
172,Inhambane,MZ,2020-04-15 22:29:02,-23.86,35.38,76.93,88,1,9.17,clear sky,0.0,0
173,Hamamatsu,JP,2020-04-15 22:32:55,34.7,137.73,60.01,44,95,8.01,overcast clouds,0.0,0
174,Esperance,AU,2020-04-15 22:29:02,-33.87,121.9,57.2,87,90,6.93,overcast clouds,0.0,0
175,Shache,CN,2020-04-15 22:32:56,38.42,77.24,60.55,23,100,13.71,overcast clouds,0.0,0
176,Kavaratti,IN,2020-04-15 22:32:56,10.57,72.64,83.57,69,91,2.19,overcast clouds,0.0,0
177,Concordia,AR,2020-04-15 22:30:48,-31.39,-58.02,68.0,45,0,8.05,clear sky,0.0,0
178,Serabu,SL,2020-04-15 22:32:56,7.8,-12.05,78.31,88,93,1.77,light rain,0.0,0
179,Waddan,LY,2020-04-15 22:32:56,29.16,16.14,78.04,26,96,3.94,overcast clouds,0.0,0
180,Norman Wells,CA,2020-04-15 22:32:57,65.28,-126.83,42.8,48,75,9.17,broken clouds,0.0,0
181,Hualmay,PE,2020-04-15 22:32:57,-11.1,-77.61,73.04,73,7,6.31,clear sky,0.0,0
182,Aquiraz,BR,2020-04-15 22:32:57,-3.9,-38.39,82.4,78,40,4.7,scattered clouds,0.0,0
183,Lewisporte,CA,2020-04-15 22:32:57,49.25,-55.05,36.0,96,90,10.29,overcast clouds,0.0,0
184,Pierre,US,2020-04-15 22:29:15,44.37,-100.35,42.01,75,90,16.11,light rain,0.0,0
185,Tasiilaq,GL,2020-04-15 22:32:58,65.61,-37.64,28.4,86,95,3.36,overcast clouds,0.0,0
